date,all_web_users
16/10/2019,51086
17/10/2019,65987
18/10/2019,36330
19/10/2019,21518
20/10/2019,18380
21/10/2019,15773
22/10/2019,9285
23/10/2019,9550
24/10/2019,8973
25/10/2019,7602
26/10/2019,7434
27/10/2019,7221
28/10/2019,7792
29/10/2019,7156
30/10/2019,6640
31/10/2019,7187
01/11/2019,6189
02/11/2019,7797
03/11/2019,9471
04/11/2019,9208
05/11/2019,8880
06/11/2019,9224
07/11/2019,6487
08/11/2019,6110
09/11/2019,4339
10/11/2019,5081
11/11/2019,6388
12/11/2019,6440
13/11/2019,6158
14/11/2019,5748
15/11/2019,6231
16/11/2019,4582
17/11/2019,5171
18/11/2019,6551
19/11/2019,6840
20/11/2019,9411
21/11/2019,11439
22/11/2019,6634
23/11/2019,4341
24/11/2019,5255
25/11/2019,6114
26/11/2019,5929
27/11/2019,7161
28/11/2019,7434
29/11/2019,7351
30/11/2019,4547
01/12/2019,4835
02/12/2019,6139
03/12/2019,5341
04/12/2019,6484
05/12/2019,5786
06/12/2019,5296
07/12/2019,3759
08/12/2019,4121
09/12/2019,5816
10/12/2019,9087
11/12/2019,7190
12/12/2019,5642
13/12/2019,6634
14/12/2019,4781
15/12/2019,4992
16/12/2019,5434
17/12/2019,4344
18/12/2019,4337
19/12/2019,3968
20/12/2019,3195
21/12/2019,3328
22/12/2019,3585
